	Narracja
497	W błotnistych okopach zniszczonej Terisiare, argiviańscy inżynierowie z armii Urzy do perfekcji opanowali sztukę pętania niszczycielskich machin wroga. Masywny, zębatkowy konstrukt bojowy Mishry szarpie się bezradnie, przygwożdżony do ziemi przez oślepiającą sieć gęstych, elektrycznych wyładowań. Pułapka nie tylko całkowicie paraliżuje stalową bestię, ale powoli wysysa jej zgromadzoną moc napędową. Energia z uwięzionego potwora spływa miedzianymi kablami prosto do mosiężnego kondensatora, gdzie z sykiem krystalizuje się w lśniący, bezcenny Kamień Mocy.
498	Po wygranym, lecz wyczerpującym starciu z wojownikami Imperium Słońca, pokład okrętu Floty Otchłani usłany jest resztkami strzaskanego oręża. Ciemno odziany korsarz staje na skraju uszkodzonej burty, zrzucając butem zniszczone tarcze pokonanych wrogów prosto w morską przepaść. Osłabieni wcześniejszym abordażem przeciwnicy podzielają los swojego ekwipunku, znikając bezpowrotnie w oceanie. W mrocznych, spienionych głębinach wokół galeonu gromadzą się już wygłodniałe rekiny, by dokończyć egzekucję zapoczątkowaną na pokładzie statku.
499	Wojownicy ze smoczego klanu Kolaghan wierzą, że prawdziwe panowanie nad Tarkirem wymaga obrócenia terytorium wroga w całkowitą ruinę. Na wietrznych szczytach gór Ojutai bezlitosny najeźdźca wymierza miażdżący cios w starożytny, mosiężny monument, niszcząc bezcenny relikt dawnej wiedzy. Potworna siła tego uderzenia nie tylko rozrywa rzeźbę, ale kruszy same fundamenty szczytu. Uświęcona ziemia pęka, a potężne bloki marmurowego tarasu obrywają się w mglistą przepaść, nie pozostawiając obrońcom nic poza gruzem.
500	Podczas odpoczynku w bezpiecznym sanktuarium Haven, Tarcza Króla porzuca na chwilę swoje bojowe obowiązki. Siedząc przy ognisku obok zaparkowanej Regalii, Gladiolus Amicitia w pełni poświęca się swojej największej kulinarnej obsesji. Z chirurgiczną precyzją, potężny wojownik zrzuca ze szczypiec wprost do styropianowego kubka perfekcyjnie odmierzoną mieszankę opiekanego mięsa, jajka i krewetek. Ten błyskawicznie przygotowany posiłek, nasycony absolutną harmonią smaków, regeneruje jego organizm o wiele szybciej niż jakikolwiek magiczny eliksir stworzony w laboratoriach Niflheimu.
501	W trzewiach Autonomicznego Pieca na Mirrodinie, fyreksyjscy nadzorcy kuźni nie znają pojęcia ograniczeń operacyjnych, projektując maszyny o zwielokrotnionej sile rażenia. Potężny, biomechaniczny konstrukt znany jako Egzekutor z Magmarch przekierowuje destrukcyjną energię przez swój główny reaktor, powielając niszczycielski potencjał każdego ataku. Z podwójnych dział bestii tryska mroczna plazma, obracając w perzynę mirrańską barykadę i pobliską wieżę przekaźnikową w jednym, zsynchronizowanym uderzeniu. Nawet gdy desperacki ogień obrońców przebija pancerz maszyny, pulsujące czerwienią organiczne ścięgna natychmiast zasklepiają wyrwę wrzącym żelazem, nie przerywając jej bezlitosnego marszu.
502	W wyschniętych, piaszczystych kanionach Tarkiru kapłani klanu Abzan niestrudzenie poszukują obumierających Drzew Przodków, by ocalić dziedzictwo swojego ludu przed zatarciem. Zmęczony wędrówką druid odnajduje skamieniały pień i natychmiast przekazuje mu własne siły witalne, przelewając magiczną energię prosto w spękaną korę. Ta mistyczna ofiara błyskawicznie wybudza uśpione w drewnie dusze, a z jałowych konarów wyłania się lśniący, widmowy kształt starożytnego wojownika. Ocalony od zapomnienia duch staje w gotowości, stanowiąc żywy dowód na to, że potęga zmarłych krewnych wciąż czuwa nad losem żyjących.
503	Na rozległych, smaganych wiatrem stepach północnego Rhovanionu, potężne szkielety smoków z Gór Szarych stanowią jedyne pomniki dawno minionych epok. Te gigantyczne, pobielone słońcem kości stały się naturalnym schronieniem dla drapieżnych sokołów o rdzawych skrzydłach, które krążą nad bezkresnymi preriami. Z wysokości dawnych smoczych żeber ptaki te bacznie obserwują suchą trawę, wypatrując najmniejszego ruchu pośród karłowatych krzewów. Choć dawne gady zginęły z rąk legendarnych bohaterów, ich szczątki wciąż służą nowemu życiu jako bezpieczne gniazda i doskonałe punkty obserwacyjne dla władców przestworzy.
504	W przygranicznych garnizonach Redanii stacjonujących w Velen największe zagrożenie często ukrywa się w szeregach samych obrońców. Masywny piechur obsługujący ciężką balistę wzorowo wykonuje swoje obowiązki, potężnym strzałem likwidując zbliżające się do palisady monstra na długo przed zmrokiem. Jego towarzysze broni nie zwracają jednak uwagi na nienaturalnie gęste owłosienie na ramionach strzelca ani na jego drapieżne, żółte ślepia skryte pod hełmem. Lojalność tego zaprawionego w bojach żołnierza utrzyma się względem króla tylko do momentu, w którym słońce ostatecznie skryje się za linią czarnych drzew.
505	Gdy noc spowija redańskie obozy wojskowe w Velen, klątwa likantropii ostatecznie zrzuca maskę dyscypliny z zarażonych żołnierzy. Zwykły strażnik przeistacza się w gigantycznego wilkołaka, a jego nadludzka siła pozwala mu z łatwością wyrwać dębową balistę z żelaznych mocowań. Trzymając załadowaną, ciężką machinę oblężniczą niczym podręczną broń, bestia mierzy w stronę zaskoczonego obozowiska. Sama obecność tak potężnego, opancerzonego futrem i uzbrojonego w artylerię potwora całkowicie paraliżuje obrońców, odbierając im jakąkolwiek wolę do zablokowania nadchodzącego ciosu.
506	W miedzianych ostępach lasu Tangle na planie Mirrodin najmniejsza kropla lśniącego oleju stanowi wyrok dla całej fauny. Kiedy zakażony drapieżnik ostatecznie pada na ziemię, jego zatrzymany rdzeń staje się zaledwie początkiem znacznie większej asymilacji. Nieruchoma kałuża czarnej substancji wokół jego powłoki bezgłośnie pochłania sąsiadujący mech, pokrywając otoczenie ostrymi, phyrexiańskimi strukturami. Każde inne stworzenie przebywające w strefie tego skażenia natychmiast absorbuje toksyczną zarazę, a uśpiona w nim infekcja bezpowrotnie wkracza w kolejną fazę w imię wiecznej doskonałości.
507	W trzewiach Wielkiego Pieca na Mirrodinie kapłani Kuldothy nie postrzegają destrukcji jako aktu zwykłego wandalizmu, lecz jako najwyższą formę artystycznej ekspresji. Krol, słynący z zamiłowania do ekstremalnych spektakli, z nieskrywaną dumą podziwia swoje najnowsze dzieło. Kiedy uwolniona z rdzenia moc rozsadza od wewnątrz masywnego, żelaznego golema, rozgrzane do czerwoności odłamki pancerza tworzą na ułamek sekundy idealną, ognistą mandalę. Dla wyznawców czerwonej many ten krótki błysk oślepiającego światła i perfekcyjny rozkład zniszczonego metalu jest prawdziwym arcydziełem, wielokrotnie cenniejszym niż jakakolwiek funkcjonująca maszyna.
508	Wody Morza Syren na planie Theros są niepodzielną domeną bogini Thassy, a jej wyznawcy, dumni Trytoni, strzegą ich z absolutnym oddaniem. Kiedy walczący na wybrzeżu morski mag otrzymuje uświęcone wsparcie od swoich sojuszników, jego uśpiony heroiczny potencjał zostaje uwolniony. Zasilony obcą magią wojownik wykorzystuje potęgę oceanu, by nałożyć na wroga nienaturalną pułapkę w postaci twardej, wodnej kolumny. Zamknięty w przezroczystej klatce minotaur z klanu Mogisa zostaje perfekcyjnie i długotrwale sparaliżowany, stając się bezużytecznym pionkiem w trwającej na lądzie bitwie.
509	Na mroźnych i nieprzyjaznych szczytach Qal Sisma łowcy z klanu Temur ruszają na łowy, by zapewnić przetrwanie swoim rodzinom podczas srogiej zimy. Olbrzymi jeleń, najcenniejsze trofeum tych surowych wyżyn, staje się celem cichego podchodu doświadczonego trapera. Zgodnie z naukami szamana Chianula, potężne poroże tego szlachetnego zwierzęcia posłuży później do rytualnego wsłuchiwania się w szepty przodków klanu. Choć odebranie mu życia jest bolesną koniecznością, jego pożywne mięso i gęste futro tchną nową żywotność w osłabionych mrozem koczowników.
510	Gdy mroczne siły zagrażają wolnym ludom Faerûnu, wysłanniczka Pana Brzasku, Lathandera, zstępuje z niebios w pierwszych promieniach poranka. Jej czysty, rezonujący nad zamkowymi murami śpiew przedziera się przez ciszę nocy, niosąc nadzieję tym, których głos został bezwzględnie stłumiony. Złoty pył porannej zorzy, opadający z jej majestatycznych skrzydeł, dotyka strudzonych obrońców, momentalnie wlewając nową odwagę w ich serca. Pod wpływem tej boskiej pieśni, rycerze w zbrojach z symbolem wschodzącego słońca prostują plecy i z niezłomną czujnością szykują się do ostatecznego odparcia ciemności.
511	W niedostępnych, wiecznie zielonych ostępach Brokilonu driady strzegą nielicznych ocalałych oryksów, uznając te dumne stworzenia za święte relikty dawnej koniunkcji sfer. Te rzadkie antylopy poruszają się bezszelestnie pośród najgęstszych zarośli puszczy, pozostając całkowicie niewidzialnymi dla ludzkich myśliwych i kłusowników. Kiedy jedno z tych mistycznych zwierząt dokonuje żywota, jego ciało szybko powraca do łona ziemi, zasilając wieczny ekosystem lasu. Na dnie Brokilonu pozostają jedynie ich lśniące, szmaragdowe kości, które leśne strażniczki pozostawiają nienaruszone jako święty dar i symbol wiecznego trwania puszczy.
512	W niekończących się, klaustrofobicznych korytarzach demonicznego Domu Valgavotha rzeczywistość nagle załamuje się pod stopami uciekinierów. Cybernetyczny ninja Kaito Shizuki wraz ze swym mechanicznym dronem zostają bezlitośnie wciągnięci przez zniekształconą boazerię, która pożera materię niczym wygłodniała paszcza. W desperackim zrywie Wędrowczyni rzuca się do przodu, wyciągając opancerzoną dłoń na ratunek swojemu dawnemu przyjacielowi z Kamigawy. Jej palce zaciskają się jednak wyłącznie na pustym powietrzu i błękitnych, rozpływających się powidokach, gdy sylwetka wojownika ostatecznie znika w niemożliwej architekturze mrocznego planu.
513	Na wzburzonych wodach wokół Ixalanu dowódcy Koalicji Bezczelnych wiedzą, że największe zagrożenie rzadko płynie ze strony wrogich flotylli, a znacznie częściej z ich własnego pokładu. Gdy karmazynowa burza uderza w żagle galeonu, jej dzika, rozprzestrzeniająca się energia błyskawicznie przejmuje umysły i ciała pokładowych zabijaków. Z oczami płonącymi nienaturalnym blaskiem, wierny dotąd bosman gwałtownie przykłada ostrze kordelasa prosto do gardła swojego obwieszonego złotem kapitana. Ta niekontrolowana fala magii zmusza załogę do brutalnego buntu, udowadniając najstarszą zasadę morskich szlaków, według której każdy ostatecznie staje po stronie silniejszego.
514	W mrocznych kniejach Ulvenwaldu nieliczni łowcy z prowincji Kessig potrafią nawiązać pierwotną, mistyczną więź z dzikimi bestiami. To starożytne przymierze nie tylko sprowadza potężnego wilka u boku wojownika, ale również nasyca mięśnie człowieka nienaturalną, drapieżną siłą. Ze szmaragdowym blaskiem w oczach ludzki myśliwy i jego zwierzęcy towarzysz rzucają się do wspólnego ataku z perfekcyjną, wręcz telepatyczną synchronizacją. Ta nierozerwalna fuzja instynktów sprawia, że dwójka staje się jednym, śmiercionośnym organizmem w walce z koszmarami wędrującymi po bezdrożach Innistradu.
515	Nad wypalonymi pustkowiami jednego z księżyców systemu Sothera unosi się potężny okręt desantowy, wypluwając z silników kaskady ognia i gęstego pyłu. Karmazynowy kadłub maszyny, wyblakły i pokryty wojennymi szramami, opuszcza ciężką rampę tuż nad ostrymi, czarnymi skałami. Z mrocznego wnętrza ładowni wypadają zautomatyzowane drony bojowe, gotowe uderzyć z powietrza w strategiczne punkty obrony przeciwnika. Na tle purpurowego nieba i rosnącej na horyzoncie czarnej superpustki ten toporny wehikuł zwiastuje bezlitosny szturm, torując drogę najemnikom walczącym o terytorium na Krańcu.
516	W sercu Dziesiątego Dystryktu dojrzała wojowniczka Legionu Boros staje na zrujnowanej barykadzie, blokując drogę intruzom na kluczowy plac targowy. Odłamki kamieni i zgniecione jesienne liście pokrywają bruk wokół niej, będąc świadectwem zaciętych walk o każdą ulicę i aleję Ravniki. Wyszczerbiony miecz weteranki wyznacza kierunek kolejnego natarcia, a jej opancerzona dłoń mocno chwyta za ramię młodszego rekruta, dźwigając go z powrotem do szyku bojowego. Pamięć o złożonej przysiędze nakazuje jej trwać na stanowisku, broniąc architektonicznego dziedzictwa tego wielkiego miasta przed całkowitym upadkiem.
517	Na mroźnych przełęczach pasma Qal Sisma porywczy zwiadowca klanu Mardu bez zawahania zaszarżował na terytorium obrońców pogranicza. Odziany w niedźwiedzie skóry Szaman Szeptów z klanu Temur, czerpiąc siłę z surowego otoczenia, uwolnił ze swoich dłoni skoncentrowaną falę magii żywiołów. Gwałtowne uderzenie nasyconego magią wiatru uderzyło w najeźdźcę, wymazując drapieżnego orka z rzeczywistości i zastępując jego ciało bezkształtną chmurą wodnej mgły. Przerażony, pozbawiony pana wierzchowiec zahamował z piskiem w zaspie, a z jego pustego siodła w głęboki śnieg wpadł jedynie żelazny tasak.
518	W mroźnych ostępach pasma Qal Sisma koczownicy klanu Temur do perfekcji opanowali sztukę ukrywania swoich sił pod osłoną wiecznych zamieci. Z pozornie pustej zaspy śnieżnej nagle wyłania się gigantyczny loxodon, gwałtownie zrzucając z siebie zwały lodu i stając w pełnej wysokości. Pokryty grubym futrem i uzbrojony w prymitywny oręż z kości weteran jest w naturalny sposób przystosowany do walki w skrajnych temperaturach. Nawet najstarsi wodzowie klanu z głębokim szacunkiem traktują tych mamucich wojowników, których niesłychana siła i zdolność do nagłego ataku z ukrycia łamie szyki każdej wrogiej hordy.
519	W sercu gęstwiny Wysokiego Lasu potężny zielony smok zwinął swoje masywne cielsko wokół pnia kolosalnego dębu, stając się jednością ze szmaragdowym półmrokiem korony drzew. Mimo rozmiarów gad pozostaje całkowicie w bezruchu, ignorując sarny przemykające w poszyciu i wpatrując się wyłącznie w lukę w leśnym sklepieniu. Z jego nozdrzy niespiesznie ulatuje cienka smużka trującego gazu, będąca jedynym ostrzeżeniem dla czegokolwiek, co ośmieli się wlecieć w jego przestrzeń powietrzną. Zgodnie z notatkami słynnego podróżnika Volothampa Geddarma, te terytorialne bestie to mistrzowie cierpliwości, atakujący z morderczą precyzją jedynie intruzów nadlatujących z przestworzy.
520	W wilgotnych, ociekających złotem kryptach Kheru potężny rakshasa spogląda z góry na klęczącego przed nim zdesperowanego kupca. Pazurzasta dłoń kociego demona podsuwa śmiertelnikowi drogocenny klejnot, będący zapłatą w mrocznym pakcie na rzecz klanu Sultai. Wokół kamiennego tronu walają się wyschnięte szczątki dawnych dłużników, z których emanuje turkusowa mgła zakazanej, nekromantycznej magii. Gdy widmowe opary wnikają w nienaturalnie rozdęte mięśnie bestii, jej sylwetka staje się jeszcze bardziej masywna i przytłaczająca.
521	W nieprzebytych ostępach Brokilonu zwinna driada zajmuje pozycję na konarach wiekowego dębu, by strzec granic swojego królestwa. Zgodnie z wolą pani Eithné, wojowniczka używa pierwotnej magii lasu, zmuszając kolczaste pędy jeżyn do utkania gęstej sieci wysoko pod koronami drzew. Ta żywa zapora ma pochwycić każdy zwiad powietrzny wysłany z sąsiedniego Verden, zanim intruzi zdołają dostrzec ścieżki nieludzi. Z naciągniętym łukiem i liściastą koroną na skroniach, obrończyni cierpliwie czeka, aż ofiara zaplącze się w mordercze sidła natury.
522	W głębokich ostępach lasu Drakwald brutalny gor zostaje nagle zatrzymany w połowie morderczej szarży przez żarliwego kapłana bitewnego. Wysłannik kultu Sigmara unosi w górę żelazny symbol dwuogoniastej komety, skupiając w nim całą potęgę swojej wiary. Święta energia błyskawicznie materializuje się pod postacią świetlistych łańcuchów, które ciasno oplatają kopytne nogi pomiotu Chaosu, fizycznie wiążąc go z ziemią. Złapana w świetlistą pułapkę bestia bezwładnie leci do przodu, a jej potężny oręż bezużytecznie wbija się w leśne błoto, neutralizując wszelkie zagrożenie z jej strony.
523	W gęstych, mrocznych lasach Velen nawet najstarsze szlaki kupieckie nigdy nie są całkowicie bezpieczne. Spod warstwy grząskiego błota i gnijących liści gwałtownie wyłania się gigantyczny skolopendromorf, z łatwością łamiąc na pół stuletnią wierzbę. Przerażający wij o potężnych żuwaczkach w amoku atakuje wszystko, co bezwiednie wejdzie na jego terytorium. Doświadczony wiedźmin ze Szkoły Gryfa płynnym ruchem unika pierwszego ciosu, zacieśniając chwyt na srebrnym mieczu przed ostatecznym starciem z opancerzoną bestią.
524	W cuchnących zaułkach Altdorfu, gdzie patrole straży miejskiej rzadko zapuszczają się po zmroku, na sługę Imperium czekała brutalna zasadzka ze strony kultystów Chaosu. Zepchnięty do ostateczności młody giermek z Zakonu Gorejącego Słońca w akcie desperacji aktywował starożytny relikwiarz ukryty w rękojeści swojego miecza. Za sprawą dawno zapomnianych inkantacji magii Hysh, ze zdobionego jelca gwałtownie wytrysnęło ostrze ze stałego, oślepiającego światła. Nagły rozbłysk magicznej broni zaskoczył napastników, dając młodzieńcowi ułamek sekundy na wyprowadzenie pierwszego i decydującego pchnięcia.
525	Na skutych mrozem przełęczach Księstwa Rosarii, Jill Warrick staje na drodze oddziałom Żelaznego Królestwa, by dać czas na ewakuację swoim sojusznikom. Pojawienie się Dominanty na polu bitwy błyskawicznie łamie szyki wroga, gdy uderzenie jej rapiera wyzwala gwałtowną falę lodowcowych kolców. Fizyczna siła magicznego mrozu z łatwością podrywa w powietrze zakutych w stal napastników, odrzucając ich daleko od wyznaczonej linii obrony. Z każdym zaczerpniętym oddechem eteru ciało dziewczyny pokrywa się coraz grubszą warstwą lodu, przygotowując powłokę na nadejście Eikona Śniegu.
526	W sercu podziemnego świata Ixalanu, przed prastarym ołtarzem nietoperzowego boga Aclazotza, fanatyczny wampir Vito z Legionu Zmierzchu wznosi ręce w akcie ostatecznego oddania. Mroczna potęga spływa na jego zakuty w ciemną stal pancerz konkwistadora, nasycając go potężną, fioletową energią z głębin planu. Ten bluźnierczy rytuał bezpowrotnie zmienia naturę arystokraty, wynosząc go do rangi potężnego, półdemonicznego bytu. Odmieniony i przepełniony nową mocą, nieumarły kapłan szykuje się do poprowadzenia bezlitosnej krucjaty przeciwko zjednoczonym siłom Słonecznego Imperium.
527	W pokrytych śniegiem ostępach Valisthei Jill Warrick odrzuca narzucone jej brzemię, całkowicie poddając się woli drzemiącego w niej Eikona. Uwalniając pradawną potęgę, wojowniczka transformuje w majestatyczną Shivę, której sama fizyczna obecność drastycznie obniża temperaturę otoczenia. Gęsta, szroniąca mgła błyskawicznie pokrywa pole bitwy grubą warstwą nieprzeniknionego lodu, paraliżując wszelkie ruchy żołnierzy Żelaznego Królestwa i odcinając im drogi ucieczki. Mroźna strażniczka unosi się ponad wykreowanym przez siebie lodowcem, zdeterminowana powstrzymać każdego intruza tchnieniem ostatecznego chłodu.
528	Niezłomna Wędrowczyni przecina barierę rzeczywistości, wkraczając prosto w nieskończone, opresyjne korytarze Domu na planie Duskmourn. Jej wrodzona magia przestrzenna gwałtownie reaguje z nienaturalną geometrią tego miejsca, iskrząc chłodnym, błękitnym światłem na krawędziach międzywymiarowej wyrwy. Złowroga architektura demona Valgavotha natychmiast próbuje osaczyć intruza, rozwijając przed bohaterką labirynt wypaczonych, klaustrofobicznych pokoi pokrytych zbutwiałą tapetą. Biała wojowniczka z Kamigawy pewnie opiera dłoń na rękojeści swojej katany, gotowa zmierzyć się ze zjawami czającymi się w migoczącym mroku sztucznego oświetlenia.
529	Na sześciokątnych brzegach Morza Rtęci awangarda sił Nowej Phyrexii próbuje przełamać linie obronne mirrodiańskiego ruchu oporu. Varil, genialny partyzant ze szczepu Neuroków, wykorzystuje swoją biegłość w magii eteru do przejęcia kontroli nad płynnym krajobrazem planu. Z gładkiej tafli oceanu wypiętrza się kolosalna fala ciężkiego, lustrzanego metalu, która z impetem uderza w nacierające biomechaniczne monstra, całkowicie łamiąc ich morderczy szyk bojowy. Ten namacalny dowód arkanicznej inżynierii udowadnia, że bezmyślne roje Ortodoksji Maszyn zapłacą najwyższą cenę za każdy krok postawiony na ziemiach Mirran.
530	W tętniącym życiem, kolosalnym lesie Oran-Rief na planie Zendikar pozory łagodności są dla nieostrożnych wędrowców najszybszą drogą do zguby. Kiedy zmutowane pnącza próbują z zaskoczenia oplątać nogi potężnego gladeharta, to rzekomo spokojne zwierzę błyskawicznie miażdży zagrożenie swoimi twardymi jak skała kopytami. Z każdym mocnym uderzeniem w niestabilną, nasyconą magią glebę, wokół bestii natychmiast rozkwitają świetliste paprocie, manifestując pierwotną i życiodajną energię tego dzikiego świata. Według zapisków lokalnego trapera Yona Basrela, tylko bezwzględna brutalność połączona z instynktowną więzią z naturą pozwala tutejszym roślinożercom przetrwać nieustanne zjawisko Przebudzenia Ziemi.
531	Podczas trwającej Epoki Lodowcowej na Dominarii nieustraszona zwiadowczyni Disa Niespokojna przemierza zasypane śniegiem pustkowia dawnego Terisiare. W pobliżu zrujnowanych filarów starożytnego imperium wojowniczka odnajduje w zmarzlinie masywne, szponiaste ślady należące do przerażającego lhurgoyfa. Klęcząc na mroźnym wietrze u stóp błękitnych lodowców, badaczka z uwagą dotyka wyżłobionego lodu, analizując kierunek marszu potężnej bestii. Jej bezcenne notatki z tych wypraw przetrwają wieki, służąc przyszłym pokoleniom wędrowców za jedyne ostrzeżenie przed potwornościami żerującymi na rubieżach Kjeldoru.
532	W mrocznym, zalanym deszczem zaułku Altdorfu trzej rzezimieszcy zaganiają w kozi róg ubranego w bufiasty strój barda, licząc na szybki rabunek. Zamiast sięgnąć po sakiewkę, pewny siebie artysta z uśmiechem unosi dłoń, zatrzymując napastników potokiem kwiecistych, zbijających z tropu słów. Zdezorientowani bandyci zastygają w bezruchu, wpatrując się w ofiarę i mimowolnie opuszczając swoją zardzewiałą broń. Ta krótka chwila słabości przesądza o ich losie, gdyż z gęstej mgły tuż za ich plecami wyłaniają się wezwani wcześniej halabardnicy ze straży miejskiej, domykając pułapkę.
533	W głębokich, miedzianych ostępach lasu Tangle na planie Mirrodin biomechaniczne drapieżniki bezlitośnie eliminują każdą słabość na polecenie Nowej Phyrexii. Kobra o żelaznym kapturze, ukryta dotąd wśród patynowanych kabli i metalowych paproci, z niezwykłą precyzją wyczekuje na najmniejszy ruch w koronach sztucznych drzew. Nagłe, nienaturalnie wysokie wybicie się potwora pionowo w powietrze pozwala mu dosięgnąć ofiary próbującej uciec w przestworza. Zgodnie z bezlitosną filozofią pretora Vorinclexa, o przetrwaniu decyduje nie tylko potężny rozmiar, ale przede wszystkim zabójczy, korodujący metal jad zdolny powalić wielokrotnie większego przeciwnika.
534	Na zdradliwych rubieżach Pustkowi Chaosu potężny czempion Khorne'a zostaje trafiony klątwą rzuconą przez wrogiego czarnoksiężnika. Pradawne zaklęcie natychmiast wchodzi w reakcję z bluźnierczą stalą pancerza, rozgrzewając ją do temperatury magmy w ułamku sekundy. Grube płyty żelaznego hełmu gwałtownie zamieniają się w bulgoczący żużel, bezlitośnie oblewając głowę i gardło uwięzionego w nim wojownika. Mimo że płynny metal całkowicie zaspawał szczeliny wizjera, nad wyciem demonicznego wiatru wciąż góruje nieludzki, niekończący się ryk ofiary.
535	W głęboko ukrytych czeluściach Skavenblight, spaczeni inżynierowie z Klanu Skryre prowadzą nieskończony cykl makabrycznych eksperymentów. Na pokrytych pleśnią stołach tysiące zwykłych rynsztokowych gryzoni poddawanych jest działaniu czystej magii Chaosu i prymitywnej, skaveńskiej inżynierii. Wszczepiane w ich ciała odłamki pulsującego spaczenia i mosiężne mechanizmy zmieniają pospolite szkodniki w bezmyślne, agresywne mutanty. Gdy jeden miot tych potworności zostaje wypuszczony do tuneli pod imperialnymi miastami, z klatek natychmiast wyciągane są kolejne osobniki, by zająć ich miejsce na stołach operacyjnych.
536	Kiedy kosmiczne zderzenie odłamków Alary rzuciło prymitywne hordy na krystaliczne mosty Esperu, sekta Ethersworn musiała natychmiast udowodnić wyższość swojej ewolucji. Chłodna w obejściu wedalkeńska mag bitewna staje na drodze deszczu kościanych włóczni miotanych przez nieumarłych najeźdźców z Grixis. Jednym precyzyjnym ruchem swoich nasyconych eterium ramion kobieta manifestuje gęstą, geometryczną barierę ze stwardniałej many, o którą bezsilnie kruszy się oręż wroga. Ochroniona przed uderzeniem, za plecami czarodziejki bezpiecznie kroczy w pełni zmechanizowana bestia, dla której ten akt obrony jest ostatecznym dowodem na potęgę dążenia do absolutnej perfekcji.
537	Wysoko nad poszarpanymi kanionami Makindi zwiadowczyni z rasy Kor zwisa na linach z krawędzi jednego z gigantycznych, lewitujących płaskowyżów Zendikaru. Zawieszona nad przepaścią kobieta precyzyjnie nanosi na pergamin układ przemieszczających się skał, całkowicie ignorując smagający ją wiatr. Zgodnie z tradycją jej ludu, nie jest to odkrywanie nieznanych lądów, lecz skrupulatne odtwarzanie bezpiecznych dróg do zapomnianych ojczyzn pochłoniętych niegdyś przez niszczycielski Roil. Gdy tylko rzut oka z dużej wysokości pozwala jej zlokalizować stabilny, trawiasty ląd, natychmiast wyznacza dla swojej karawany nową ścieżkę przeprawy.
538	Wysoko w górach nad klasztorem Dirgur pierzaste smoki z lęgu Ojutai patrolują niebo, strzegąc świętego terytorium przed intruzami. Gdy tylko orkowy wojownik klanu Kolaghan próbuje przypuścić atak na kamienne mury, zstępujący z chmur gad uwalnia z paszczy gwałtowny strumień krystalicznego zimna. Magiczny mróz natychmiast zatrzymuje barbarzyńcę w locie, uwięziwszy jego ciało oraz oręż w nierozerwalnej, lodowej skorupie. Unieruchomiony najeźdźca pozostanie w tej pułapce przez wiele dni, gdyż smocze zaklęcie utrzymuje się w powietrzu, samoczynnie odnawiając narastające warstwy szronu.
539	W cienistych, prastarych ostępach Wysokiego Lasu oddany sługa Dębowego Ojca wzywa samą ziemię do zbrojnej obrony przed intruzami. Potężny smokowiec, czerpiąc pierwotną magię wprost z żył natury, wsuwa szponiaste dłonie głęboko w glebę, by przebudzić uśpione siły Faerûnu. Na jego zew z pękniętej ziemi i splątanych korzeni wyłania się gigantyczny żywiołak, w ułamku sekundy formując niszczycielską masę ze skał i twardego drewna. Pobłogosławiony przez samego Silvanusa awatar natury z furią rusza na wroga, miażdżąc na swojej drodze wszelkie zagrożenia dla nienaruszonej kniei.
540	W labiryncie novigradzkich kanałów, gdzie słońce nigdy nie dociera, prawdziwymi łowcami są potężne stada zmutowanych szczurów. Kiedy samotny poszukiwacz skarbów próbuje przemycić cenne mapy pod rynsztokami miasta, agresywne gryzonie gwałtownie odcinają mu drogę ucieczki. Osaczony przez drapieżniki, mężczyzna musi przerwać poszukiwania i kurczowo osłaniać swoje zdobycze przed zębami bestii. Atak zmusza go do wstrzymania wszelkich planów, dopóki nie przepędzi piszczącego roju z powrotem do mroku.
541	W tętniącym życiem rzemieślniczym dystrykcie Bomat na Kaladeshu żaden cech nie może funkcjonować bez ciężkich barek transportowych napędzanych eterem. Gdy potężny, mosiężny kadłub z impetem wbija się w wody głównego kanału Ghirapuru, dostawa świeżych zasobów natychmiast przyciąga uwagę lokalnych inwentorów. Solidna konstrukcja statku z łatwością znosi ogromny ciężar zasilających miasto rdzeni, dostarczając cenne surowce niezbędne do ukończenia najnowszych projektów. Aby jednak ta rzeczna forteca mogła bezpiecznie manewrować między filarami wąskich wiaduktów, stery muszą spoczywać w dłoniach niezwykle silnej i doświadczonej załogi.
542	W przepastnych korytarzach we wnętrzu Mirrodina partyzanci z ruchu oporu wykorzystują zaawansowaną inżynierię do przełamywania szyków wroga. Precyzyjnie rzucona, wielościenna bomba sferyczna rozrywa się na stalowym pokładzie, uwalniając ładunek obezwładniającego, karmazynowego światła. Oślepiający blask i nagły wstrząs sensoryczny wywołują bezwarunkową panikę u biomechanicznego strażnika Nowej Phyrexii, zmuszając go do opuszczenia gardy i upuszczenia ciężkiej włóczni. Ten krótki moment fizycznej dezorientacji obrońcy bezbłędnie otwiera drogę mirrańskim wojownikom do dalszego natarcia.
